task,gpt56_score,r16_reward,r16_n,glm52_verifier_mean,glm52_composite_mean,glm52_n
hsm-admission-replay,1.0,,,0.0000,0.2557,8
hsm-remediation-planner,1.0,,,0.8750,0.8923,8
html-sanitizer-pipeline,1.0,,,0.8750,0.8861,8
http-digest-parser-fix,1.0,,,0.0000,0.2903,8
http-framing-drift-auditor,1.0,,,1.0000,0.7000,8
hub-repair-recourse,1.0,,,0.5714,0.6850,7
hull-claims-adjudicator,1.0,,,1.0000,0.9178,8
icalendar-json-boildown,1.0,,,0.5000,0.4250,8
ice-core-recovery-plan,1.0,,,0.8750,0.8266,8
iceberg-order-fix,1.0,,,0.0000,0.2189,8
icu-fallback-artifacts,1.0,,,0.8750,0.8915,8
idempotency-replay-race,1.0,,,1.0000,0.9659,8
imaging-window-scheduler,1.0,,,0.8750,0.8375,8
incident-campaign-audit,1.0,,,0.3750,0.4778,8
incident-credit-engine,1.0,,,0.7500,0.7356,8
incident-playbook-phases,1.0,,,1.0000,0.9917,8
incident-replay-recovery,1.0,,,0.3750,0.4709,8
incident-runbook-replay-fix,1.0,,,0.2500,0.4455,8
inrush-valve-scheduler,1.0,,,0.7500,0.7219,8
institution-output-fractions,1.0,,,1.0000,0.9916,8
integrating-sphere-calibration,1.0,,,0.6250,0.7035,8
intent-threshold-calibration,1.0,,,0.1250,0.3710,8
intern-pool-compaction,1.0,,,0.8750,0.9073,8
interval-replay-repair,1.0,,,0.0000,0.1857,8
inventory-reconcile-fix,1.0,,,1.0000,0.9518,8
inventory-snapshot-reconcile,1.0,,,1.0000,0.9667,8
invoice-delinquency-calibration,1.0,,,0.6250,0.6945,8
iot-rollup-manifest,1.0,,,0.0000,0.3000,8
ipo-accrual-anomaly,1.0,,,0.6250,0.7205,8
ipsec-esn-replay-guard,1.0,,,1.0000,0.9500,8
ipset-restore-merge-fix,1.0,,,1.0000,0.9625,8
isometric-tile-shadows,1.0,,,0.2500,0.4375,8
isotonic-regression-fit,1.0,,,0.0000,0.2196,8
isotonic-regression-pava,1.0,,,0.0000,0.2081,8
iv-ate-estimation,1.0,,,1.0000,0.9672,8
ivy-offline-planner,1.0,,,0.5000,0.6385,8
jitter-herd-audit,1.0,,,1.0000,0.8895,8
johnson-negcycle-report,1.0,,,0.7500,0.7955,8
join-stable-loganon,1.0,,,1.0000,0.9920,8
joint-valuation-bias-correction,1.0,,,0.7500,0.7833,8
journal-checkpoint-race,1.0,,,0.0000,0.2750,8
journal-health-digest,1.0,,,0.8750,0.8000,8
journal-retention-sweep,1.0,,,0.8750,0.9125,8
journal-wave-ifindex-parity,1.0,,,0.7500,0.8143,8
journald-replay-dedupe,1.0,,,0.0000,0.1803,8
jurisdiction-risk-lift,1.0,,,0.0000,0.2547,8
jwks-revocation-replay,1.0,,,0.7500,0.7940,8
jws-auth-hardening,1.0,,,0.0000,0.2677,8
jwt-acl-gateway,1.0,,,0.6250,0.7375,8
kafka-rack-rebalance,1.0,,,1.0000,0.9982,8
kalaha-cli-sowsolver,1.0,,,0.0000,0.3000,8
kalman-navigation-metrics,1.0,,,0.5000,0.6026,8
kb-ticket-router,1.0,,,1.0000,0.7705,8
kendall-tau-exact,1.0,,,1.0000,0.9662,7
kera-stamp-lineage-repair,1.0,,,0.0000,0.2971,8
kerberos-containment-decision,1.0,,,1.0000,1.0000,8
kernel-fleet-ingest,1.0,,,0.8750,0.8506,8
key-lifecycle-ledger,1.0,,,0.0000,0.2963,8
kit-accountability-auditor,1.0,,,0.5000,0.6410,8
klein-gordon-stepper,1.0,,,1.0000,0.8467,8
knotwork-player-solver,1.0,,,1.0000,0.9793,8
known-answer-repair,1.0,,,1.0000,0.9917,8
kotlin-wavelet-wavedec,1.0,,,0.2500,0.4539,8
ks-statistic-runner,1.0,,,0.3750,0.5625,8
lab-color-transfer-mask,1.0,,,1.0000,0.9901,8
lab-flowshop-scheduler,1.0,,,1.0000,1.0000,8
lab-gear-reservation-fix,1.0,,,0.8750,0.8738,8
lane-driver-digests,1.0,,,0.0000,0.3000,8
last-heap-game-solver,1.0,,,0.7500,0.5425,8
lastheap-game-solver,1.0,,,0.0000,0.2930,8
latency-slo-reconciler,1.0,,,0.6250,0.6617,8
latent-affinity-ordering,1.0,,,0.8750,0.8656,8
latent-print-sizing,1.0,,,0.6250,0.6742,8
layer-replay-regeneration,1.0,,,1.0000,0.9307,8
lean-undo-mvar-sync,1.0,,,0.0000,0.2587,8
lease-arbiter-audit,1.0,,,1.0000,0.9468,8
lease-expiry-audit,1.0,,,0.2500,0.2840,8
lease-replay-adjudicator,1.0,,,0.6250,0.6709,8
lease-replay-reconcile,1.0,,,0.0000,0.2069,8
lease-replay-tracker,1.0,,,1.0000,0.9536,8
leave-ledger-repair,1.0,,,1.0000,0.9812,8
ledger-close-release,1.0,,,0.8750,0.9083,8
ledger-closeout-reconciler,1.0,,,0.0000,0.2341,8
ledger-replay-zoned-import,1.0,,,1.0000,0.9222,8
legacy-auth-deny-policy,1.0,,,1.0000,0.9166,8
legal-hold-epoch-sweep,1.0,,,1.0000,0.8185,8
license-bid-deal-fix,1.0,,,0.7500,0.7708,8
lights-out-pike-solver,1.0,,,0.7500,0.8069,8
like-null-join-fix,1.0,,,1.0000,0.9944,8
lineage-ledger-repair,1.0,,,0.0000,0.2812,8
linepack-blackout-adjudicator,1.0,,,0.6250,0.7125,8
livestock-gate-ledger,1.0,,,0.5000,0.6228,8
loader-config-cache-stale,1.0,,,1.0000,0.8620,8
loblolly-panel-optimization,1.0,,,0.5000,0.6500,8
local-account-policy-fix,1.0,,,0.7500,0.7781,8
local-level-kalman-fit,1.0,,,0.1250,0.2703,8
locale-build-sanitizer,1.0,,,1.0000,0.9488,8
localization-release-gates,1.0,,,1.0000,0.9930,8
lock-arbiter-policy,1.0,,,0.1250,0.3449,8
lock-closure-resolver,1.0,,,0.0000,0.2217,8
locker-revocation-audit,1.0,,,0.8750,0.8772,8
lockfile-preview-endpoint,1.0,,,0.7500,0.7500,8
lockfree-mpsc-queue,1.0,,,0.0000,0.2932,8
loess-smoothing-regression,1.0,,,0.0000,0.1500,8
log-contract-audit,1.0,,,1.0000,0.9739,8
login-config-convergence,1.0,,,0.6250,0.6914,8
logreg-wandb-contract,1.0,,,1.0000,0.9975,8
long-term-reversal-hac,1.0,,,1.0000,1.0000,8
longitudinal-sine-causal-effect,1.0,,,1.0000,1.0000,8
loom-pick-tally-fix,1.0,,,0.1250,0.3547,8
ltrace-gap-restitch,1.0,,,0.7500,0.8205,8
macaroon-probe-report,1.0,,,0.0000,0.2852,8
macbind-audit-resync-fix,1.0,,,1.0000,0.8500,8
magazine-ledger-reconciliation,1.0,,,0.7500,0.7994,8
mahjong-resume-audit,1.0,,,0.8750,0.8375,8
maildir-replay-repair,1.0,,,0.1250,0.3500,8
mailsift-spam-scoring,1.0,,,1.0000,0.7000,8
maintadmit-admission-bundle,1.0,,,0.2500,0.4641,8
maintenance-batch-planner,1.0,,,0.0000,0.2676,8
managed-resolver-pin-drift,1.0,,,0.7500,0.7786,8
manifest-atomic-rebuild,1.0,,,0.6250,0.7230,8
manifest-integrity-audit,1.0,,,0.8750,0.8672,8
manifest-override-repair,1.0,,,1.0000,0.9625,8
manuscript-bind-pipeline,1.0,,,0.6250,0.7088,8
maple-sap-ledger-reconciler,1.0,,,0.5000,0.5750,8
marginal-entrant-benefit,1.0,,,1.0000,0.8580,8
marienbad-match-solver,1.0,,,0.6250,0.6989,8
marienbad-nim-analyzer,1.0,,,0.7500,0.8250,8
markdown-editor-autosave,1.0,,,0.8750,0.9015,8
markdown-link-journal,1.0,,,0.0000,0.2750,8
market-override-gate,1.0,,,0.5000,0.6481,8
mars-edl-reconstruction,1.0,,,1.0000,0.9969,8
matrix-market-bilinear-trace,1.0,,,0.8750,0.8281,8
matrix-power-boundedness,1.0,,,0.7500,0.7800,8
maven-graph-locker,1.0,,,0.0000,0.2944,8
maven-provenance-gate,1.0,,,0.8750,0.9125,8
mavlink-log-repair,1.0,,,1.0000,0.9053,8
md5-ring-report-fix,1.0,,,1.0000,1.0000,8
mdbox-map-consistency-fix,1.0,,,1.0000,0.9755,8
media-manifest-validator,1.0,,,0.0000,0.3000,8
media-release-ruling,1.0,,,0.7500,0.8063,8
media-signing-hardening,1.0,,,0.5000,0.6018,8
memory-stamp-replay,1.0,,,1.0000,0.9394,8
meridian-release-reconcile,1.0,,,1.0000,0.9803,8
merkle-audit-proof-fix,1.0,,,1.0000,0.7819,8
mesh-loader-cycle-break,1.0,,,0.0000,0.2503,8
mesh-validity-survey-fix,1.0,,,0.0000,0.2349,8
meson-wrap-audit,1.0,,,0.7500,0.7765,8
metadata-propagation-replay,1.0,,,0.0000,0.2522,8
metadata-replay-drift,1.0,,,0.7500,0.8250,8
meter-journal-replay-fix,1.0,,,0.6250,0.7283,8
metro-disruption-planner,1.0,,,0.2500,0.4330,8
metrology-ledger-reconstruction,1.0,,,0.0000,0.2805,8
mfa-quarantine-reviewer,1.0,,,0.1250,0.3458,8
microclimate-diffusion,1.0,,,0.2500,0.4750,8
microgrid-contingency-commitment,1.0,,,0.1250,0.3307,8
microseismic-source-dossier,1.0,,,1.0000,0.9981,8
migration-planner-safety,1.0,,,0.8750,0.8974,8
mime-params-decoder,1.0,,,0.7500,0.7095,8
minichess-ledger-repair,1.0,,,1.0000,0.9881,8
minisgf-roundtrip-authority,1.0,,,1.0000,0.9984,8
minizinc-crew-scheduling,1.0,,,0.2500,0.4609,8
mirror-integrity-audit,1.0,,,1.0000,0.9292,8
mirror-promotion-planner,1.0,,,0.0000,0.1500,8
misere-rowguard-cycle-fix,1.0,,,0.0000,0.2481,8
ml-lineage-reconciliation,1.0,,,0.8750,0.8588,8
moderation-report-fix,1.0,,,0.0000,0.2953,8
monorepo-build-planner,1.0,,,0.0000,0.2931,8
mortgage-denial-leakage,1.0,,,0.6250,0.7353,8
moth-scheduler-manifest,1.0,,,1.0000,0.9961,8
mountplan-dry-run,1.0,,,0.2500,0.3831,8
move-lifecycle-drift,1.0,,,0.0000,0.2271,8
moving-piston-collisions,1.0,,,0.8750,0.8750,8
mqtt-qos2-replay-audit,1.0,,,0.0000,0.2625,8
msgforge-catalog-compiler,1.0,,,0.2500,0.4629,8
mtls-audit-verdictor,1.0,,,0.8750,0.8432,8
mtls-rotation-planner,1.0,,,0.0000,0.1811,8
multi-depot-reload-routing,1.0,,,0.6250,0.7292,8
multipath-reload-reconciler,1.0,,,0.8750,0.8840,8
multiplayer-sync-engine,1.0,,,0.0000,0.2075,8
muon-cavity-reconstruct,1.0,,,0.1250,0.3800,8
mushroom-bag-ledger,1.0,,,0.6250,0.6490,8
mvcc-gc-auditor,1.0,,,0.0000,0.1280,8
mvcc-snapshot-replay,1.0,,,0.8750,0.9125,8
mx-scope-wal-digests,1.0,,,0.8750,0.8750,8
nacha-return-reconciler,1.0,,,0.7500,0.8175,8
namespace-attachment-report,1.0,,,0.0000,0.2756,8
nas-replica-promotion-clearance,1.0,,,0.1250,0.3641,8
native-addon-replay-fix,1.0,,,0.1250,0.2869,8
ndjson-recoupment,1.0,,,0.2500,0.3934,8
nested-savepoint-replay,1.0,,,1.0000,1.0000,8
netpulse-arc-fifo-stats,1.0,,,0.8750,0.9125,8
netscope-policy-ratifier,1.0,,,0.7500,0.5615,8
neutron-cell-scheduler,1.0,,,1.0000,0.9302,8
newton-raphson-solver-fix,1.0,,,1.0000,0.9669,8
nfl-attendance-regression,1.0,,,1.0000,0.9798,8
nfs-export-resolver,1.0,,,0.3750,0.5573,8
nginx-anomaly-seal-chain,1.0,,,0.6250,0.6952,8
nginx-config-parser,1.0,,,0.0000,0.3000,8
nginx-location-audit,1.0,,,1.0000,0.9625,8
nginx-upstream-audit,1.0,,,0.1250,0.3875,8
nhis-distress-workflow,1.0,,,0.7500,0.8069,8
node-capacity-service-fix,1.0,,,0.5000,0.5364,8
nonparametric-test-calibration,1.0,,,0.0000,0.2503,8
normal-interval-logprob,1.0,,,0.6250,0.6795,8
normalize-spaces-journal-fix,1.0,,,1.0000,0.9763,8
npc-combat-replay-fix,1.0,,,0.0000,0.2736,8
npk-blocked-design,1.0,,,0.8750,0.9070,8
npm-overrides-migration,1.0,,,1.0000,1.0000,8
npm-peer-hoisting,1.0,,,0.2500,0.4306,8
npm-prune-replay,1.0,,,0.3750,0.5570,8
ntp-auth-drift-audit,1.0,,,0.0000,0.2412,8
nttf-ntt-multiply,1.0,,,1.0000,0.7000,8
nuget-release-audit,1.0,,,0.0000,0.2949,8
nullsql-query-engine,1.0,,,0.1250,0.3471,8
nursery-bench-optimizer,1.0,,,1.0000,0.9988,8
nvme-epoch-bundle-fix,1.0,,,1.0000,0.9798,8
nvram-enrollment-drift,1.0,,,1.0000,0.8800,8
oauth-consent-guard,1.0,,,0.8750,0.8862,8
observational-ate-estimate,1.0,,,0.8750,0.7971,8
observatory-session-gate,1.0,,,0.5000,0.6396,8
ocean-ctd-qc,1.0,,,0.5000,0.6243,8
oceancast-stability-audit,1.0,,,0.6250,0.7375,8
oci-release-assembler,1.0,,,0.0000,0.2940,8
ode-event-replay-fix,1.0,,,0.6250,0.4375,8
offline-apt-policy,1.0,,,0.7500,0.8141,8
offline-channel-replay-sync,1.0,,,0.0000,0.2679,8
offline-cohort-selector,1.0,,,1.0000,0.9625,8
offline-go-release-audit,1.0,,,1.0000,0.9897,8
offline-lock-planner,1.0,,,0.1250,0.3753,8
offline-model-scoring,1.0,,,0.7500,0.8172,8
offline-package-mirror,1.0,,,0.0000,0.2582,8
offline-provenance-verifier,1.0,,,0.2500,0.4720,8
offline-repo-resolver,1.0,,,0.6250,0.7358,8
offline-rust-resolver,1.0,,,0.0000,0.2903,8
offline-task-reconciliation,1.0,,,1.0000,0.8875,8
offload-trace-replay,1.0,,,1.0000,0.7785,8
ohmnet-exact-dc-analysis,1.0,,,1.0000,0.9691,8
ohmnet-mna-assembler,1.0,,,1.0000,1.0000,8
online-isotonic-drift,1.0,,,0.3750,0.4644,8
opa-ml-admission-policy,1.0,,,0.6250,0.7188,8
opa-referee-repair,1.0,,,1.0000,0.9938,8
opcua-alarm-replay,1.0,,,0.3750,0.5519,8
openfda-hospitalization-risk,1.0,,,1.0000,0.9422,8
openfda-renal-signal,1.0,,,0.5000,0.6166,8
opening-book-regeneration,1.0,,,0.0000,0.2930,8
openssh-krl-compiler,1.0,,,1.0000,0.9856,8
operator-grammar-digest,1.0,,,1.0000,0.9570,8
optical-grid-allocation,1.0,,,0.5000,0.5270,8
optimal-crate-pusher,1.0,,,0.0000,0.2756,8
optimal-sokoban-solver,1.0,,,0.0000,0.2797,8
orbital-contact-analysis,1.0,,,0.1250,0.3824,8
order-allocation-replay,1.0,,,1.0000,0.9955,8
order-by-pivot-audit,1.0,,,0.8750,0.8926,8
orrery-parley-adjudicator,1.0,,,0.6250,0.7142,8
overlap-effect-intervals,1.0,,,1.0000,1.0000,8
overlay-precedence-drift,1.0,,,1.0000,0.9852,8
overlay-tombstone-reconcile,1.0,,,0.0000,0.0880,8
overlay-tombstone-replay,1.0,,,1.0000,0.9750,8
oxygen-ledger-cli,1.0,,,0.1250,0.3500,8
pack-negotiation-state,1.0,,,1.0000,0.9898,8
package-dependency-resolver,1.0,,,1.0000,0.9250,8
package-lifecycle-forensics,1.0,,,0.2500,0.3730,8
package-url-normalization,1.0,,,1.0000,1.0000,8
package-url-normalizer,1.0,,,0.8750,0.8575,8
packed-abi-bundle-repair,1.0,,,1.0000,0.9790,8
pagoda-api-contract-fix,1.0,,,1.0000,0.8404,8
pairing-validator-ledger,1.0,,,0.1250,0.3558,8
palladium-wave-evaluator,1.0,,,0.0000,0.2763,8
pam-bind-matrix,1.0,,,0.0000,0.3000,8
pam-bypass-forensics,1.0,,,0.3750,0.4904,8
pantry-seal-provenance,1.0,,,0.0000,0.3000,8
parcel-boundary-reconciler,1.0,,,1.0000,0.9941,8
parcel-quorum-authority,1.0,,,0.0000,0.2457,8
parlay-slip-grader,1.0,,,0.6250,0.7000,8
partial-trace-vxk-runner,1.0,,,0.6250,0.7255,8
partner-gateway-auth-rotation,1.0,,,0.3750,0.5625,8
partner-token-audit,1.0,,,0.0000,0.2203,8
password-policy-audit,1.0,,,0.8750,0.7886,8
patchline-rollout-planner,1.0,,,0.6250,0.7350,8
patchrollup-safety-auditor,1.0,,,0.6250,0.7225,8
path-aware-glob-matcher,1.0,,,0.0000,0.2790,8
pathguard-redos-fix,1.0,,,0.6000,0.6330,5
payments-security-audit,1.0,,,0.1250,0.3385,8
pbft-consensus-repair,1.0,,,0.0000,0.2829,8
pcap-http-report-fix,1.0,,,0.1250,0.3750,8
pcapmini-bounds-audit,1.0,,,1.0000,0.9798,8
pe-import-audit,1.0,,,0.0000,0.2531,8
pellet-breach-replayer,1.0,,,0.6250,0.7184,8
pem-expiry-catalog,1.0,,,0.7500,0.7699,8
peptide-evidence-report,1.0,,,0.7500,0.7948,8
perk-loadout-optimizer,1.0,,,1.0000,0.8560,8
permafrost-enthalpy-solver,1.0,,,0.0000,0.3000,8
permit-bug-sweep,1.0,,,1.0000,0.8664,8
permit-logic-overhaul,1.0,,,1.0000,0.9496,8
pfctl-trace-append-repair,1.0,,,0.0000,0.1347,8
pg-peering-export-drift,1.0,,,0.8750,0.7760,8
phantom-release-board,1.0,,,1.0000,0.9830,8
phantom-ssi-audit,1.0,,,1.0000,0.9239,8
php-linker-resolver,1.0,,,1.0000,0.9865,8
pic-push-drift-repair,1.0,,,0.0000,0.2437,8
pidfd-reapband-coordinator,1.0,,,0.8750,0.8750,8
pinned-column-buckling,1.0,,,1.0000,0.9970,8
pipeline-namespace-security,1.0,,,1.0000,1.0000,8
pipeline-pigging-ledger,1.0,,,0.0000,0.2654,8
piv-rotation-mux-drift,1.0,,,0.7500,0.7790,8
pkce-revlog-exchange,1.0,,,1.0000,0.9798,8
plugin-handoff-skew,1.0,,,0.6250,0.6738,8
plume-balance-scheduler,1.0,,,0.2500,0.4417,8
pncounter-convergence,1.0,,,0.2500,0.4207,8
pnpm-link-coherence,1.0,,,0.0000,0.0000,8
polar-custody-planner,1.0,,,0.0000,0.2571,8
policy-authority-reconcile,1.0,,,1.0000,0.9156,8
policy-journal-replay,1.0,,,1.0000,0.9559,8
policy-jump-estimate,1.0,,,1.0000,0.7351,8
policy-query-counting,1.0,,,1.0000,0.9697,8
policy-replay-audit,1.0,,,1.0000,0.9875,8
policy-space-counter,1.0,,,0.7500,0.8191,8
policyfence-recovery-export,1.0,,,1.0000,0.9304,8
polling-merge-cleanup,1.0,,,1.0000,0.9192,8
polling-place-report-repair,1.0,,,0.3750,0.5404,8
poly8-root-solver,1.0,,,0.6250,0.6898,8
population-telemetry-fit,1.0,,,0.8750,0.8416,8
portcall-berth-planner,1.0,,,0.7500,0.8231,8
posit-exact-arithmetic,1.0,,,0.6250,0.7375,8
post-rain-shock-triage,1.0,,,0.0000,0.2489,8
postfix-delivery-validator,1.0,,,1.0000,0.9921,8
postfix-queue-throttle-restart,1.0,,,0.0000,0.2746,8
potential-field-calibration,1.0,,,1.0000,0.9933,8
ppd-ticket-merger,1.0,,,0.2500,0.4554,8
premium-spend-ate,1.0,,,1.0000,0.9582,8
prerelease-install-resolver,1.0,,,1.0000,0.8591,8
prescription-desk-assignment,1.0,,,1.0000,0.9212,8
presigned-url-auditor,1.0,,,0.5000,0.6500,8
pressure-witness-replay,1.0,,,0.0000,0.1406,8
pretrend-adjusted-att,1.0,,,1.0000,0.9798,8
principal-survivor-effect,1.0,,,1.0000,0.8181,8
priority-inheritance-dispatcher,1.0,,,1.0000,0.9447,8
priority-overlay-fix,1.0,,,0.0000,0.2951,8
privexec-incident-ruling,1.0,,,0.3750,0.5216,8
probe-epoch-reconcile,1.0,,,1.0000,0.9542,8
procession-simulator-runner,1.0,,,0.2500,0.4750,8
procurement-audit-sync,1.0,,,0.0000,0.2411,8
prolog-charpoly-primefield,1.0,,,1.0000,0.9914,8
prolog-hamiltonian-sum,1.0,,,0.6250,0.7019,8
proofing-rack-optimizer,1.0,,,1.0000,0.9586,8
protein-energy-calculator-fix,1.0,,,1.0000,0.9604,8
proto-wire-retention,1.0,,,0.6250,0.7118,8
protobuf-compat-checker,1.0,,,0.7500,0.7787,8
prototype-pressure-classifier,1.0,,,0.1250,0.2750,8
provenance-drift-fix,1.0,,,0.7500,0.8136,8
provenance-gate-audit,1.0,,,0.1250,0.3641,8
proxy-bucket-audit,1.0,,,0.8750,0.8950,8
proxy-pool-metrics,1.0,,,1.0000,0.9250,8
pulp-settlement-contract-sync,1.0,,,0.0000,0.2930,8
pump-firmware-guard,1.0,,,0.2500,0.3116,8
purl-canonicalizer,1.0,,,0.7500,0.8250,8
pxctl-pulse-reconciliation,1.0,,,1.0000,0.9040,8
qoi-decoder-bounds-fix,1.0,,,1.0000,0.9725,8
quadrature-report-repair,1.0,,,1.0000,0.9970,8
quartzrail-sample-sorter,1.0,,,0.0000,0.2625,8
quench-delay-adjudicator,1.0,,,0.8750,0.9093,8
quic-recovery-audit-reconcile,1.0,,,1.0000,0.9941,8
quillmarsh-ledger-reconcile,1.0,,,1.0000,1.0000,8
quorum-journal-replay,1.0,,,0.0000,0.2737,8
quorum-ledger-audit,1.0,,,0.0000,0.2156,8
quota-journal-canonicalizer,1.0,,,0.1250,0.3875,8
quota-ledger-receipts,1.0,,,1.0000,0.9848,8
quoted-printable-lowercase-hex,1.0,,,0.7500,0.7836,8
qxctl-conversion-resume,1.0,,,0.8750,0.8993,8
r-pvalue-adjustments,1.0,,,1.0000,1.0000,8
r3-bytecode-tally-repair,1.0,,,0.0000,0.2224,8
r7-replay-pipeline-fix,1.0,,,0.8750,0.8525,8
rack-dwell-settle,1.0,,,1.0000,0.9763,8
racket-policy-decisions,1.0,,,0.3750,0.4534,8
radar-beamduct-simulator,1.0,,,1.0000,0.8898,8
radar-outlier-analysis,1.0,,,1.0000,0.9497,8
radar-pass-optimizer,1.0,,,0.7500,0.7175,8
radiometry-manifest-replay,1.0,,,0.0000,0.2236,8
radiometry-resume-flux-parity,1.0,,,0.2500,0.4750,8
raft-log-consistency,1.0,,,1.0000,0.9494,8
railcap-capacity-consistency,1.0,,,1.0000,0.9213,8
railway-dispatch-rules,1.0,,,0.1250,0.3394,8
randomized-svd-estimate,1.0,,,1.0000,0.9797,8
range-sort-queries,1.0,,,0.3750,0.5328,8
ranking-contract-fix,1.0,,,0.0000,0.2967,8
rational-sequence-inference,1.0,,,0.6250,0.5833,8
rbac-delegation-auditor,1.0,,,0.0000,0.2838,8
rcif-composition-auditor,1.0,,,0.0000,0.2531,8
reaction-wheel-calibration,1.0,,,0.6250,0.6382,8
reactivation-replica,1.0,,,1.0000,0.9879,8
rebalance-audit-contract,1.0,,,0.5000,0.4967,8
rebinding-resolver-traces,1.0,,,0.7500,0.8089,8
receipt-rollup-hardening,1.0,,,0.8750,0.9125,8
recursive-bom-materials,1.0,,,1.0000,0.9812,8
recursive-file-watcher,1.0,,,0.5000,0.6070,8
recursive-role-sanitizer,1.0,,,0.7500,0.8151,8
redflag-interval-audit,1.0,,,0.6250,0.7375,8
redirect-scan-hardening,1.0,,,0.8750,0.8585,8
redis-cache-policy-guard,1.0,,,0.8750,0.9078,8
reef-bay-wave-planner,1.0,,,1.0000,0.9970,8
reefer-ledger-decoder,1.0,,,0.6250,0.7005,8
refractory-state-reconstruction,1.0,,,0.3750,0.5458,8
refresh-family-lockout,1.0,,,1.0000,0.9325,8
region-floor-capture,1.0,,,1.0000,0.9712,8
regional-revenue-sql,1.0,,,0.8750,0.9080,8
registry-affinity-packer,1.0,,,0.8750,0.8750,8
registry-resolver-compat,1.0,,,0.6250,0.7000,8
registry-resolver-repair,1.0,,,1.0000,0.9732,8
relational-chase-certifier,1.0,,,0.0000,0.2105,8
relay-matrix-generation,1.0,,,0.0000,0.2865,8
relaylock-offline-planner,1.0,,,0.3750,0.5008,8
release-closure-attestation,1.0,,,0.0000,0.2875,8
release-closure-reconcile,1.0,,,0.2500,0.3853,8
release-gate-attestation-audit,1.0,,,0.5000,0.6456,8
release-gate-tag-verification,1.0,,,0.7500,0.8069,8
release-gate-verifier,1.0,,,0.3750,0.5062,8
release-integrity-assessor,1.0,,,0.5000,0.5922,8
release-sanitization-planner,1.0,,,0.8750,0.8631,8
relicmaze-resolver-replay,1.0,,,0.7500,0.8250,8
renju-move-referee,1.0,,,0.6250,0.6987,8
rental-price-reconciliation,1.0,,,1.0000,0.9464,8
repair-release-entrypoints,1.0,,,0.2500,0.3609,8
replay-carry-anchor,1.0,,,0.5000,0.6388,8
replay-causal-ledger,1.0,,,0.0000,0.2510,8
replay-checkpoint-seek-sync,1.0,,,1.0000,0.9578,8
replay-convergence-fix,1.0,,,1.0000,0.9913,8
replay-lane-ordering,1.0,,,0.0000,0.2383,8
replay-staple-diverge,1.0,,,1.0000,0.9550,8
replica-cas-stock-fold,1.0,,,0.6250,0.7199,8
replica-election-auditor,1.0,,,1.0000,0.9766,8
replica-log-reconstructor,1.0,,,0.8750,0.7882,8
repro-worker-api-fix,1.0,,,0.1250,0.3401,8
resampler-block-boundaries,1.0,,,0.6250,0.5986,8
reserve-sequence-fitter,1.0,,,1.0000,1.0000,8
reservoir-release-optimizer,1.0,,,1.0000,0.9226,8
reshape-wal-audit,1.0,,,1.0000,0.9946,8
resp-bytefix-go-server,1.0,,,1.0000,0.9635,8
restaurant-prep-reports,1.0,,,0.1250,0.3286,8
restore-audit-redaction,1.0,,,0.0000,0.2973,8
restore-config-convergence,1.0,,,0.0000,0.2596,8
restore-evidence-verifier,1.0,,,0.8750,0.9061,8
restore-ordering-hazard,1.0,,,0.0000,0.2888,8
resume-replay-ledger,1.0,,,0.8750,0.8336,8
retention-probe-ord-repair,1.0,,,0.0000,0.0488,8
retinashelf-preflight-gate,1.0,,,0.1250,0.3713,8
reunion-schedule-planner,1.0,,,1.0000,0.8963,8
reverberant-source-localization,1.0,,,0.6250,0.7047,8
revision-capture-weave,1.0,,,1.0000,0.9850,8
rig-parser-hardening,1.0,,,0.7500,0.7783,8
ring-overflow-forge,1.0,,,0.1250,0.2375,8
ring-replay-witness,1.0,,,0.6250,0.7225,8
rivulet-throttle,1.0,,,0.2500,0.4562,8
rkpd-protected-ref-consistency,1.0,,,0.0000,0.1927,8
rng-telemetry-audit,1.0,,,0.6250,0.6472,8
road-closure-reconciler,1.0,,,1.0000,0.8391,8
robot-parts-manifest,1.0,,,1.0000,0.9690,8
robust-household-campaign,1.0,,,0.5000,0.6125,8
robust-triangle-geometry,1.0,,,1.0000,0.8991,8
robust-vrp-reload,1.0,,,0.7500,0.7781,8
rod-heat-stability-fix,1.0,,,0.0000,0.2464,8
rollback-divergence-inspector,1.0,,,0.7500,0.7655,8
rollback-trace-skew,1.0,,,0.0000,0.2462,8
rook-circuit-strategy,1.0,,,0.3750,0.5414,8
rook-rendezvous-selector,1.0,,,0.7500,0.8006,8
root-ca-certsmith,1.0,,,0.1250,0.2600,8
rotaplan-recovery-ledgers,1.0,,,0.7500,0.7920,8
rotor-telemetry-reduction,1.0,,,0.6250,0.7188,8
route-replay-output-fix,1.0,,,1.0000,0.9902,8
rrule-expansion-engine,1.0,,,0.6250,0.6719,8
rrule-recurrence-expander,1.0,,,0.3750,0.4806,8
rtcp-stats-repair,1.0,,,0.8750,0.8562,8
ruleforge-victory-book,1.0,,,0.7500,0.8215,8
run-endpoint-andany-fix,1.0,,,1.0000,1.0000,8
rust-convergence-desk,1.0,,,1.0000,0.9156,8
rust-drift-compliance,1.0,,,0.0000,0.2223,8
rust-lockfile-resolver,1.0,,,0.5000,0.5589,8
rust-log-compactor-repair,1.0,,,0.0000,0.2859,8
rust-medcouple-compute,1.0,,,1.0000,1.0000,8
